Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What do you think were the main strengths and weaknesses of this module?,How much of this module's learning material was relevant to you?,"To what extent do you agree with the following statement: ""I feel more equipped to lead in my context as a result of my learning through this module.""",Did you complete this module as part of an action learning group?,Are you interested in the possibility of doing another LEAD module after this one?,Has your learning from this module changed your approach to leadership?,You said that this module has changed the way that you approach leadership. In what ways has your approach to leadership changed?,"To what extent do you agree with this statement? ""I was given the support and information I needed to complete the learning activities to the best of my ability.""",,"To what extent do you agree with this statement? ""The feedback I received for my learning activity submissions was helpful""",
,,,,,,,,,Open-Ended Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Is there anything else you would like to say about this?,Response,Is there anything else you would like to say about this?
19196571055,414754141,10/30/2024 09:50:40 PM,10/30/2024 09:53:14 PM,,,,,,Loved the e-learning but I felt it could have been brought in more in the zoom sessions ,Most of it,Agree,Yes,Yes,"Yes, somewhat",Thinking about my vision and putting it into action ,,,,
19195521797,414754230,10/25/2024 09:36:52 AM,10/25/2024 09:39:44 AM,,,,,,The action learning coaching approach of Lead can be facilitated is the overall strength of Lead.  It enables a safe space where real learning can take place on the given topic and in other areas. The material was engaging and provided an excellent scaffolding for this process.,Most of it,Agree,Yes,Yes,"Yes, somewhat",The module gave me much needed space to reflect on the different teams I am in and the way that I operate leadership of/within them. As a result I am more conscious of the modes that I am in within different teams and can tailor my responses to situations accordingly.,Agree,,Aagree,
19168586532,414754230,06/13/2024 09:16:44 AM,06/13/2024 09:20:11 AM,,,,,,Excellent live interaction and teaching materials. Each module duration is just right to balance life/work. No weaknesses I can think of.,All of it,Strongly disagree,Yes,Yes,"Yes, somewhat",Thinking more about my  to projects and conversations with leadership ,Strongly disagree,,Strongly disagree,
19165067773,414754230,05/28/2024 01:58:24 PM,05/28/2024 02:02:22 PM,,,,,,"I think the main strength is that we don't solve each others problems but are enabled to come to our own conclusion with the help of others.   the only weakness is that I would always prefer to do in person, but there is a strength in being able to join with others in other areas of the country which would not be possible in person.",Most of it,Strongly agree,Yes,Yes,"Yes, somewhat","As a result of the module, I am more aware of different ways of leading and have been given the confidence to put some of them into practice",,,,
19165041621,414754230,05/28/2024 11:36:04 AM,05/28/2024 11:44:01 AM,,,,,,The Action learning groups were really helpful,Most of it,Agree,Yes,Yes,"Yes, somewhat",It has helped me find ways to be more prepared but also to let go of needing to be in control of everything.,Strongly agree,,Strongly agree,
19148437263,414754221,03/13/2024 04:50:08 PM,03/13/2024 04:54:20 PM,,,,,,"It was really good, got me thinking about various areas of healthy leadership and the relationships that i need to manage in my curacy. The action learning group has proved really beneficial to me as even though we are in different roles some of the challenges are the same for us",All of it,Strongly agree,Yes,Yes,"Yes, somewhat","It has got me thinking more about the various relationships i need to manage, and made me more aware of how i continue to develop these relationships. It made me consider where my boundaries lie and what is important for me in my role as a new leader",,,,
19148422748,414754221,03/13/2024 03:58:16 PM,03/13/2024 04:11:40 PM,,,,,,"I think the main strengths were the content of each module, the  fellowship within the group, the fact we could not offer advice, we had to ask a question which helped us to reflect and find the answers within ourselves. I thought Jayne and her colleague were brilliant! They brought us together and guided us each week. I was really supported by them. It felt like a safe space to share our concerns.  I think I would rather meet face to face but at the same time with other responsibilities online training works well.",All of it,Strongly agree,Yes,Yes,"Yes, a great deal",When ever I feel out of my depth or facing difficult situations I say to myself 'You're the leader so lead!'  I have found it easier to cope with difficult situations and have those difficult conversations where I have had to confront individuals with how they have treated me or how they have treated others. I think the course has made me braver! ,Strongly agree,Jayne always sent us out the information we needed for the next module which I found really helpful.,Strongly agree,The feedback was honest and encouraging. 
19148063631,414754221,03/12/2024 10:55:13 AM,03/12/2024 11:01:17 AM,,,,,,"I really enjoy the action learning groups- I found they functioned more as a way of processing the material more than  necessarily coming up with a concrete action each time - which in my case was actually very helpful as while the material was very relevant in a general sense, for me it didn't always align with problems I was immediately facing that week. ",Most of it,Agree,Yes,Yes,"Yes, somewhat",I've found the reflective element really helpful and this has caused me to slow down when it comes to decision making and  be able to take in more information as well as being more confident and at peace with decisions once I've made them.,,,,
19147819573,414754250,03/11/2024 01:54:57 PM,03/11/2024 01:57:02 PM,,,,,,The Action learning set mode of learning was really useful.  The breadth of material provided meant that there was always something which sparked reflection (although I could do with a lot more time to read some of it!) ,Most of it,Agree,Yes,Yes,"Yes, somewhat",The module has increased the tools available to me which in turn improves my confidence,Agree,,Aagree,
19147185224,414754250,03/08/2024 08:31:08 AM,03/08/2024 08:37:46 AM,,,,,,"I went into the module expecting to be equipped with some tools for enabling leaders, performance management etc. And while I was given those sort of resources, my learning in this module was much, much deeper. I learned most about myself, my impetus for leadership and uncovered some of my reluctance to tackle the difficult parts of being a leader. This is genuinely transformational learning, not just training for a role. ",Most of it,Strongly disagree,Yes,Yes,"Yes, somewhat","Rather than seeing it as a set of competencies I can learn to achieve, I'm seeing leadership as more of a skill, an art, a role to inhabit. ",Agree,"At the beginning, I don't think I appreciated how much of the module was learner-directed, and that I needed to be proactive in taking my own learning into the ALG. ",Aagree,
19146720718,414754221,03/06/2024 05:26:19 PM,03/06/2024 05:31:58 PM,,,,,,S= shared experiences  W=zoom,All of it,Agree,No,Yes,"Yes, somewhat",Not feeling like I have to solve everything or have all the answer's ,Agree,,Aagree,
19117667363,414754141,11/15/2023 03:09:08 PM,11/15/2023 03:12:11 PM,,,,,,"The module was great, it really got me thinking about various different strategies to overcome challenges or to see things in a new way. Each way I came away encouraged and ready to face the week ahead. The material was really good too, it was nice to be able to dip in and out of the different sections depending on what perked my interest that week.",All of it,Strongly agree,Yes,Yes,"Yes, somewhat","It has made me realise that i don’t have to try to be a replica of my boss, that i can do ministry in my own way and in a way that is authentic to my giftings and strengths",,,,
19085864118,414754235,07/31/2023 04:21:36 PM,07/31/2023 04:29:08 PM,,,,,,"Building on previous action learning, both practise and use of models  ",All of it,Strongly disagree,Yes,Yes,"Yes, a great deal","Leading others into lay leadership in preparation for multi-parish ministry: sending others into teams to collaborate in positive change rather than simply being told what to do (spoon fed leading to tick box change, not change of long term practises) regarding AROCHA Bronze Award.  People are starting to come up with their own ideas, with enthusiasm, rather than expecting clergy to do everything!",Strongly agree,,,
